Retail Branding,Marketing Name,Device,Model
Raspberry,Pi 3,rpi3,rpi3
Gree,G0215d,g0215d,g0215d
Lenovo,K6 Power,karate,karate
HP,Touchpad,tenderloin,tenderloin
Lenovo,K6 Note / K6 Plus,karatep,karatep
HardKernel,ODROID-XU3,odroidxu3,odroidxu3
Asus,ZenFone 3,zenfone3,zenfone3
Xiaomi,MI 3,cancro,cancro
Samsung,Note II,t0lte,t0lte
Xiaomi,Redmi 2,wt88047,wt88047
Motorola,Moto G Dual SIM (3rd gen),osprey,osprey
LG,Nexus 5,hammerhead,hammerhead
LeEco,Le 2,x620,x620
OnePlus,3,oneplus3,oneplus3
Xiaomi,Xiaomi Redmi 4 (4X),santoni,santon
Motorola,Moto G,falcon,falcon
LG,Optimus EX,x2,x2
Samsung,Galaxy Note N7000,n7000,n7000
Nvidia?,Nvidia Shield Android TV?,icosa,icosa